comment_id,n_tokens_matched,gioia,tristezza,rabbia,paura,disgusto,fiducia,sorpresa,aspettativa,dominant_emotion
j2b44ks,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutrale
j2aom5g,30,9.889999999999999,4.46,6.12,6.49,4.28,9.18,9.549999999999999,13.579999999999995,aspettativa
j29zk3k,15,2.6,1.9500000000000002,2.41,2.8,1.0000000000000002,3.13,3.37,5.89,aspettativa
j283mhu,4,1.76,0.7499999999999999,0.75,0.75,0.42,1.5899999999999999,1.5699999999999998,2.33,aspettativa
j23i33c,1,0.42,0.04,0.04,0.08,0.0,0.42,0.29,0.58,aspettativa
j23gaco,2,0.54,0.17,0.17,0.16,0.17,0.75,0.04,1.0,aspettativa
j216bye,4,0.67,0.88,0.7900000000000001,1.3399999999999999,0.42,1.1700000000000002,1.04,2.0500000000000003,aspettativa
j2153vx,11,4.42,2.7,1.88,3.25,0.94,3.91,3.36,4.5,aspettativa
j20iviu,6,1.41,1.5,1.79,1.79,0.92,2.38,1.37,2.46,aspettativa
j1zgxm3,2,1.1199999999999999,0.29,0.21000000000000002,0.5,0.04,0.92,0.75,1.04,gioia
j1yu2f9,1,0.71,0.08,0.21,0.08,0.04,0.38,0.21,0.25,gioia
j1ytox1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutrale
j1ys4kg,10,2.25,2.87,2.37,2.58,1.6600000000000001,1.56,3.12,4.25,aspettativa
j1yel06,6,1.87,1.16,1.08,0.83,0.65,2.5,0.79,2.42,fiducia
j1y9wa9,12,5.12,1.2000000000000002,0.6599999999999999,1.37,0.61,3.87,3.76,4.5,gioia
j1xvssd,26,8.11,5.390000000000001,4.619999999999999,4.090000000000001,2.14,7.49,5.430000000000001,10.190000000000001,aspettativa
j1wj6jq,4,0.75,0.36999999999999994,0.41000000000000003,0.29,0.4600000000000001,1.58,0.25,1.8,aspettativa
j1v5rep,4,1.2000000000000002,1.21,0.9200000000000002,1.04,0.45999999999999996,2.0,1.08,2.17,aspettativa
j1ulsjj,5,3.34,0.71,0.33,0.49999999999999994,0.16,2.59,1.7899999999999998,2.87,gioia
j1u1z12,9,3.62,2.0,1.4500000000000002,2.49,0.7,3.55,2.62,4.61,aspettativa
j1tn8pf,2,0.34,0.34,0.34,0.84,0.58,0.08,0.58,0.5,paura
j1tiwsh,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutrale
j1rol8n,2,0.38,0.32999999999999996,0.29,0.42000000000000004,0.17,0.55,0.45999999999999996,1.42,aspettativa
j1r9010,1,0.17,0.08,0.0,0.0,0.0,0.08,0.08,0.29,aspettativa
j1pl1qb,4,2.17,0.54,0.36,0.8300000000000001,0.12,1.58,1.29,2.08,gioia
j1nun1z,4,2.46,0.37,0.21000000000000002,0.5800000000000001,0.32999999999999996,2.45,1.49,2.71,aspettativa
j1nen94,11,3.12,3.45,2.0500000000000003,2.3400000000000003,1.08,3.6000000000000005,1.74,4.08,aspettativa
j1napve,7,0.95,1.37,0.7400000000000001,1.45,0.54,1.46,1.3299999999999998,2.5799999999999996,aspettativa
j1n8yp3,4,0.6599999999999999,0.62,0.32999999999999996,0.54,0.21,1.21,0.83,1.6199999999999999,aspettativa
j1lkcfq,11,2.79,0.88,0.6199999999999999,1.1800000000000002,0.5299999999999999,3.8600000000000003,2.46,4.85,aspettativa
j1jt7ju,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutrale
j1ig3u4,15,4.2,3.4799999999999995,4.04,4.510000000000001,1.9500000000000002,3.39,3.5300000000000002,3.79,paura
j1i4451,7,2.59,0.66,0.78,1.04,0.46,1.91,1.6199999999999999,3.87,aspettativa
j1i3po8,33,11.199999999999998,7.800000000000001,7.05,8.94,3.68,12.11,8.87,13.700000000000005,aspettativa
j1i37wy,1,0.71,0.17,0.04,0.0,0.0,0.54,0.25,0.46,gioia
j1hr9t6,27,11.629999999999997,4.19,3.39,4.7,3.2000000000000006,9.249999999999998,6.130000000000001,11.77,aspettativa
j1hpmlw,9,2.91,1.28,0.74,1.16,0.78,3.04,1.94,4.34,aspettativa
j1ho4wl,14,3.58,1.9,2.0300000000000002,2.3600000000000003,1.6099999999999999,4.84,3.45,6.97,aspettativa
j1hknzf,13,3.7300000000000004,2.46,1.7600000000000002,2.6599999999999997,0.9100000000000001,3.08,1.95,4.19,aspettativa
j1hdt3u,12,2.0700000000000003,4.2,3.49,6.9,2.1799999999999997,2.15,4.09,2.92,paura
j1g8ri1,17,3.7300000000000004,3.2,4.53,5.57,2.5,4.86,3.67,9.040000000000001,aspettativa
j1fqh90,12,5.5,2.1200000000000006,2.4400000000000004,2.56,1.46,4.2,3.13,5.99,aspettativa
j1f5ey0,1,0.0,0.29,0.58,0.25,0.71,0.04,0.42,0.04,disgusto
j1du4xe,28,9.65,3.9400000000000004,2.3100000000000005,5.68,1.9000000000000004,10.44,6.36,13.71,aspettativa
j1d5ih1,13,4.79,2.76,1.87,2.3499999999999996,1.11,3.8899999999999997,3.3200000000000003,5.34,aspettativa
j1bi7g3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutrale
j18caz3,8,1.4,2.16,1.6600000000000001,2.17,1.3800000000000001,0.9600000000000001,1.37,2.84,aspettativa
j18c4d2,61,21.86,10.799999999999992,9.619999999999994,11.95,6.3500000000000005,16.289999999999996,15.529999999999994,23.89999999999999,aspettativa
j181tp0,83,23.61,11.879999999999997,9.53,14.579999999999993,5.050000000000001,21.789999999999996,16.839999999999996,34.029999999999994,aspettativa
j161mk4,6,3.2800000000000002,1.13,0.75,0.79,0.49,2.46,0.8699999999999999,2.16,gioia
j13i02f,1,0.25,0.29,0.08,0.12,0.0,0.54,0.29,0.75,aspettativa
j0ymklq,5,1.0899999999999999,1.54,1.38,1.68,1.07,1.79,1.09,2.42,aspettativa
j0vx02d,36,8.959999999999999,5.340000000000001,3.4100000000000006,3.4600000000000004,2.21,11.48,4.390000000000001,15.670000000000003,aspettativa
j0vgbbu,2,0.62,0.25,0.16,0.25,0.16,0.17,0.75,0.5,sorpresa
j0tpt7s,1,0.92,0.21,0.17,0.25,0.25,0.62,0.33,0.58,gioia
j0rtt8r,21,7.37,1.9699999999999998,2.12,3.04,1.9899999999999998,6.39,4.11,10.229999999999999,aspettativa
j0p4n99,2,1.58,0.5,0.16,0.16,0.0,1.16,0.42,0.92,gioia
j0miof7,6,0.16,1.7199999999999998,1.96,1.9899999999999998,0.7100000000000001,0.33,0.7500000000000001,0.96,paura
j0ljrvz,13,4.7,1.1099999999999999,1.04,2.08,0.6599999999999999,6.6,2.86,5.87,fiducia
j0kjxhx,5,1.8800000000000001,0.62,0.5900000000000001,0.5800000000000001,0.29000000000000004,1.5499999999999998,1.84,3.1799999999999997,aspettativa
j0kinsa,1,0.29,0.04,0.12,0.04,0.04,0.42,0.17,0.21,fiducia
j0ke4ri,9,1.83,1.8,1.58,2.08,1.05,2.79,2.2800000000000002,3.96,aspettativa
j0ke2dh,2,0.37,0.41,0.25,0.7100000000000001,0.12,0.75,0.25,1.25,aspettativa
j0i04ft,6,2.33,1.21,0.6200000000000001,0.42,0.12,2.83,1.4100000000000001,2.75,fiducia
j0fxzz6,5,1.25,1.25,1.4100000000000001,2.0,0.91,1.86,1.67,2.54,aspettativa
j0ftcvo,7,1.83,1.92,2.08,3.08,1.4100000000000001,2.52,2.8,3.62,aspettativa
j0fry9a,12,3.54,2.12,2.38,1.7799999999999998,1.1300000000000001,2.6500000000000004,2.37,4.07,aspettativa
j0fnzqf,4,0.66,0.75,0.91,1.25,0.8300000000000001,0.9199999999999999,0.7200000000000001,2.04,aspettativa
j0bpt34,20,5.26,4.04,2.7300000000000004,3.5599999999999996,0.68,7.06,4.050000000000001,8.17,aspettativa
j0awzz4,10,2.33,2.2,1.4600000000000002,1.88,0.62,3.42,1.71,4.75,aspettativa
j06lq6r,6,3.58,1.25,0.9600000000000001,1.16,0.45999999999999996,3.49,3.1999999999999997,4.13,aspettativa
j05zgtj,3,0.29,0.66,0.08,0.95,0.32999999999999996,0.37,0.95,1.62,aspettativa
j01m85s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutrale
j01h84c,16,4.66,3.67,2.76,3.4700000000000006,1.2,3.9599999999999995,3.1500000000000004,4.88,aspettativa
izx5iug,5,1.87,1.0,1.5,1.09,0.58,1.09,1.58,1.55,gioia
