parola,gioia,tristezza,rabbia,paura,disgusto,fiducia,sorpresa,aspettativa
????,0.3040644304416039,0.5744794297575488,0.6329627770879559,0.4832471393491651,0.4193584190668815,0.2548626921747721,0.8819620540676643,0.36439541718634594
a_caso,0.2345747843604714,0.4159537108480208,0.529798652983612,0.7245449882500258,0.3318336447233664,0.25138388933342015,0.9048266888451595,0.39988748693669257
a_malincuore,0.0891046549716937,0.9590372350551637,0.49018876886934043,0.47801101601421303,0.47603422446787846,0.13076510209307185,0.26735375887304674,0.22271895140072523
a_scanso_di,0.43153277007832624,0.5016292236465991,0.6271721284851741,0.46972047074659956,0.2949274841830624,0.5888087779485571,0.5866042303845057,0.8053136247167277
abbagliante,0.656890468984701,0.20283064362678013,0.2779574451886052,0.34598030075461295,0.15171867581520201,0.5153474903281947,0.8717226040828217,0.76426510763664
abbandonare,0.15424966106661428,0.830341060081605,0.8517352379438455,0.8297869446137356,0.8163411487921306,0.28202397039787136,0.5633622599753408,0.43645844441094966
abbandonato,0.09921178995022566,0.8851428195008099,0.8339099982082024,0.7963564707990504,0.6613982807354499,0.14521092173730749,0.3919342916205429,0.25863644414233256
abbandono,0.06847121706734895,0.904759465804724,0.7501838874220295,0.7465540261803265,0.49501972306610204,0.13010956379709182,0.2589898823755494,0.13943025566353542
abbassare,0.2968017961631005,0.6723721931469233,0.6744929119725523,0.7520370848114585,0.5859743498487461,0.33763794680891107,0.5868649572524621,0.3636755029462424
abbastanza,0.7173361297022884,0.46467113323731457,0.4797239612650522,0.5073964495277828,0.4102062869883844,0.7028540636838972,0.6210169648969465,0.6652654490946572
abbattere,0.13635633042341358,0.7679716372777692,0.9048822489989685,0.715199176618917,0.6929185540632407,0.18640166600436545,0.38600654807248813,0.3033445467984059
abbattersi,0.14922690981130912,0.9386546924573659,0.5322785599047971,0.6333672279853966,0.335705008154312,0.29023632204915517,0.27117494395198455,0.26656313249381797
abbattuto,0.15873226904494855,0.9408545666013888,0.7174364920947692,0.6260698493958412,0.5981964073881082,0.26553543859020345,0.44751355916270946,0.23924905151634043
abbellimento,0.8753405375489344,0.12163850804686208,0.12148105050260148,0.19338991642376252,0.08746976122616414,0.7416249805519591,0.7259293255919603,0.787015479203329
abbigliamento,0.7170040342521867,0.1155599384834517,0.08982128243139985,0.15435588059160554,0.06616433693677484,0.688873792021546,0.43344516269829997,0.7049915444278521
abbinare,0.6946434236608605,0.27114545511286914,0.2701350671451885,0.3558753251583792,0.23120039311332946,0.8449485499223316,0.6557707540715214,0.8852682238546276
abbonamento,0.4858723794782477,0.4294243375688846,0.7490988870734319,0.42532955372840897,0.34891477204767285,0.7139395375563975,0.4944747158112005,0.5949946654981118
abbonare,0.6770550257451364,0.16615999920078786,0.19256723388160393,0.33655606289500783,0.23285108756469794,0.6984351892632276,0.7863269151963358,0.7691711984671884
abbondante,0.8175565999336737,0.42000705467224714,0.3655502390762584,0.3409934858200853,0.38672861396442293,0.7076421658732778,0.7068705481214776,0.5840441026933441
abbondanza,0.8597511139904644,0.20975622648016182,0.21838456796510947,0.2784304715085606,0.1835023240464064,0.5551876058040385,0.742584300504442,0.7955935898049471
abbordabile,0.7338617834227752,0.11330910944133701,0.08843244087239133,0.15249771944683813,0.06330569891349223,0.9033499590812366,0.43648292608344824,0.759324173189423
abbracciare,0.8388966725349143,0.4820327542614938,0.262199452236125,0.36648404047759087,0.25016395987627615,0.7839515527538847,0.730808365502238,0.5110920367214337
abbraccio,0.8870185691089121,0.503160859169184,0.19172143714937973,0.29680049024826227,0.14687409917471952,0.8361239486539868,0.5270331976366522,0.5918490323383198
abdicare,0.2684203146866409,0.5212162066582313,0.5718186326836895,0.4763575725144653,0.4619529173372905,0.5168961342505672,0.7469754856385028,0.535559788382059
aberrante,0.07753979299799373,0.4925293254039511,0.6539327385677883,0.6927192537502449,0.9144906381111019,0.09890475198791972,0.376614999974636,0.14379488747408758
aberrare,0.05912339558685873,0.5577215966962149,0.7710509201147641,0.7459128640148726,0.774301908264439,0.09493666238414483,0.2683189923624779,0.1377310693931161
